#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_0p0_0p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_0p0_0p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_0p0_0p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_0p7_1p6_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_0p7_1p6_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_0p7_1p6_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_1p6_3p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_1p6_3p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_1p6_3p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_3p0_5p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaEtaJ1J2Jets4p7_0p0_0p7 recoAbsDeltaEtaJ1J2Jets4p7_3p0_5p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
