#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_0p0_2p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_0p0_2p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_0p0_2p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p0_2p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p0_2p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p0_2p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p7_2p95_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p7_2p95_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p7_2p95_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p95_3p07_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p95_3p07_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_2p95_3p07_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_3p07_3p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_3p07_3p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_0p0_2p0 recoAbsDeltaPhiGgJjJets4p7_3p07_3p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_0p0_2p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_0p0_2p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_0p0_2p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_2p0_2p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_2p0_2p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_2p0_2p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_2p7_2p95_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_2p7_2p95_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsDeltaPhiGgJjJets4p7_2p0_2p7 recoAbsDeltaPhiGgJjJets4p7_2p7_2p95_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
