#proc cat nGausRV nGausWV
OutsideAcceptance hgg_DPhiJJ_0p0_0p5_cat0_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p0_0p5_cat1_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p0_0p5_cat2_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p5_0p9_cat0_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p5_0p9_cat1_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p5_0p9_cat2_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p9_1p3_cat0_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p9_1p3_cat1_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_0p9_1p3_cat2_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_1p3_1p7_cat0_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_1p3_1p7_cat1_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_1p3_1p7_cat2_17 -1 -1
OutsideAcceptance hgg_DPhiJJ_1p7_2p5_cat0_17 2 -1
OutsideAcceptance hgg_DPhiJJ_1p7_2p5_cat1_17 1 -1
OutsideAcceptance hgg_DPhiJJ_1p7_2p5_cat2_17 2 -1
OutsideAcceptance hgg_DPhiJJ_2p5_3p2_cat0_17 1 -1
OutsideAcceptance hgg_DPhiJJ_2p5_3p2_cat1_17 1 -1
OutsideAcceptance hgg_DPhiJJ_2p5_3p2_cat2_17 1 -1
OutsideAcceptance hgg_DPhiJJ_m1000p0_0p0_cat0_17 4 -1
OutsideAcceptance hgg_DPhiJJ_m1000p0_0p0_cat1_17 2 1
OutsideAcceptance hgg_DPhiJJ_m1000p0_0p0_cat2_17 2 1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p0_0p5_cat0_17 2 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p0_0p5_cat1_17 2 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p0_0p5_cat2_17 4 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p5_0p9_cat0_17 4 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p5_0p9_cat1_17 1 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p5_0p9_cat2_17 3 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p9_1p3_cat0_17 1 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p9_1p3_cat1_17 -1 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_0p9_1p3_cat2_17 -1 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_1p3_1p7_cat0_17 1 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_1p3_1p7_cat1_17 2 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_1p3_1p7_cat2_17 -1 -1
smH_DPhiJJ_0p0_0p5 hgg_DPhiJJ_1p7_2p5_cat0_17 1 -1
