#proc cat nGausRV nGausWV
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p0_0p3_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p0_0p3_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p0_0p3_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p3_0p6_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 3 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p3_0p6_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p3_0p6_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 4 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p6_1p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p6_1p0_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 1 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_0p6_1p0_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_1p0_1p4_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genAbsDeltaRapidityGgJet2p50_0p0_0p3 recoAbsDeltaRapidityGgJet2p50_1p0_1p4_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
