#proc cat nGausRV nGausWV
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p0_0p2 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p2_0p5 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p5_0p85 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 3 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_1p2_1p7_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_0p85_1p2 recoAbsZeppenfeldEtaJets4p7_1p7_10p0_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p0_0p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p2_0p5_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p5_0p85_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0106_0p0146_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0146_0p0396_SigmaMpTTag_0_16 2 -1
InsideAcceptance_genAbsZeppenfeldEtaJets4p7_1p2_1p7 recoAbsZeppenfeldEtaJets4p7_0p85_1p2_sigmaMoM_decorr_0p0_0p0106_SigmaMpTTag_0_16 4 -1
