#proc cat nGausRV nGausWV
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p07_0p15_cat1_18 3 4
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p07_0p15_cat2_18 2 4
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p07_0p15_cat0_18 3 2
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p0_0p07_cat1_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p0_0p07_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p0_0p07_cat0_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p15_0p22_cat1_18 -1 -1 smH_cThetaS_0p15_0p22 hgg_cThetaS_0p15_0p22_cat0_18
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p15_0p22_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p15_0p22_cat0_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p22_0p35_cat1_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p22_0p35_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p22_0p35_cat0_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p35_0p45_cat1_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p35_0p45_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p35_0p45_cat0_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p45_0p55_cat1_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p45_0p55_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p45_0p55_cat0_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p55_0p75_cat1_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p55_0p75_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p55_0p75_cat0_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p75_1p0_cat1_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p75_1p0_cat2_18 -1 -1
smH_cThetaS_0p07_0p15 hgg_cThetaS_0p75_1p0_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p07_0p15_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p07_0p15_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p07_0p15_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p0_0p07_cat1_18 4 1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p0_0p07_cat2_18 4 2
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p0_0p07_cat0_18 3 1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p15_0p22_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p15_0p22_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p15_0p22_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p22_0p35_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p22_0p35_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p22_0p35_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p35_0p45_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p35_0p45_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p35_0p45_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p45_0p55_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p45_0p55_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p45_0p55_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p55_0p75_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p55_0p75_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p55_0p75_cat0_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p75_1p0_cat1_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p75_1p0_cat2_18 -1 -1
smH_cThetaS_0p0_0p07 hgg_cThetaS_0p75_1p0_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p07_0p15_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p07_0p15_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p07_0p15_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p0_0p07_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p0_0p07_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p0_0p07_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p15_0p22_cat1_18 2 1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p15_0p22_cat2_18 3 3
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p15_0p22_cat0_18 4 1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p22_0p35_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p22_0p35_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p22_0p35_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p35_0p45_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p35_0p45_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p35_0p45_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p45_0p55_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p45_0p55_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p45_0p55_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p55_0p75_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p55_0p75_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p55_0p75_cat0_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p75_1p0_cat1_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p75_1p0_cat2_18 -1 -1
smH_cThetaS_0p15_0p22 hgg_cThetaS_0p75_1p0_cat0_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p07_0p15_cat1_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p07_0p15_cat2_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p07_0p15_cat0_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p0_0p07_cat1_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p0_0p07_cat2_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p0_0p07_cat0_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p15_0p22_cat1_18 -1 -1
smH_cThetaS_0p22_0p35 hgg_cThetaS_0p15_0p22_cat2_18 -1 -1
