#proc cat nGausRV nGausWV
InsideAcceptance_genPt_0p0_100p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_0p0_100p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_170p0_250p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_250p0_350p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_0p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_170p0_250p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPt_350p0_10000p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 4 -1
OutsideAcceptance recoPt_0p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 4
OutsideAcceptance recoPt_0p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 1
OutsideAcceptance recoPt_0p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 1
OutsideAcceptance recoPt_100p0_170p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
OutsideAcceptance recoPt_100p0_170p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
OutsideAcceptance recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 1 -1
OutsideAcceptance recoPt_170p0_250p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 -1
OutsideAcceptance recoPt_170p0_250p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
OutsideAcceptance recoPt_170p0_250p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 1 -1
OutsideAcceptance recoPt_250p0_350p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
OutsideAcceptance recoPt_250p0_350p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 3 -1
OutsideAcceptance recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
OutsideAcceptance recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
