#proc cat nGausRV nGausWV
InsideAcceptance_genPt_0p0_60p0 recoPt_0p0_60p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 2 3
InsideAcceptance_genPt_0p0_60p0 recoPt_0p0_60p0_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 1
InsideAcceptance_genPt_0p0_60p0 recoPt_0p0_60p0_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 3 1
InsideAcceptance_genPt_0p0_60p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_100p0_170p0_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_170p0_350p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_170p0_350p0_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_170p0_350p0_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_60p0_100p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 3 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_60p0_100p0_sigmaMoM_decorr_0p0165_0p0332_SigmaMpTTag_0_18 2 -1
InsideAcceptance_genPt_0p0_60p0 recoPt_60p0_100p0_sigmaMoM_decorr_0p0_0p01076_SigmaMpTTag_0_18 -1 -1
InsideAcceptance_genPt_100p0_170p0 recoPt_0p0_60p0_sigmaMoM_decorr_0p01076_0p0165_SigmaMpTTag_0_18 -1 -1
