#proc cat nGausRV nGausWV
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_0p0_30p0_cat1_16 3 2
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_0p0_30p0_cat2_16 2 1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_0p0_30p0_cat0_16 4 1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_100p0_200p0_cat1_16 -1 -1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_100p0_200p0_cat2_16 4 -1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_100p0_200p0_cat0_16 3 -1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_200p0_10000p0_cat1_16 -1 -1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_200p0_10000p0_cat2_16 -1 -1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_200p0_10000p0_cat0_16 -1 -1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_30p0_50p0_cat1_16 4 2
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_30p0_50p0_cat2_16 2 4
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_30p0_50p0_cat0_16 2 1
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_50p0_100p0_cat1_16 2 3
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_50p0_100p0_cat2_16 2 2
smH_PTHMiss_0p0_30p0 hgg_PTHMiss_50p0_100p0_cat0_16 4 1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_0p0_30p0_cat1_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_0p0_30p0_cat2_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_0p0_30p0_cat0_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_100p0_200p0_cat1_16 1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_100p0_200p0_cat2_16 3 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_100p0_200p0_cat0_16 2 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_200p0_10000p0_cat1_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_200p0_10000p0_cat2_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_200p0_10000p0_cat0_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_30p0_50p0_cat1_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_30p0_50p0_cat2_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_30p0_50p0_cat0_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_50p0_100p0_cat1_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_50p0_100p0_cat2_16 -1 -1
smH_PTHMiss_100p0_200p0 hgg_PTHMiss_50p0_100p0_cat0_16 1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_0p0_30p0_cat1_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_0p0_30p0_cat2_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_0p0_30p0_cat0_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_100p0_200p0_cat1_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_100p0_200p0_cat2_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_100p0_200p0_cat0_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_200p0_10000p0_cat1_16 2 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_200p0_10000p0_cat2_16 1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_200p0_10000p0_cat0_16 4 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_30p0_50p0_cat1_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_30p0_50p0_cat2_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_30p0_50p0_cat0_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_50p0_100p0_cat1_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_50p0_100p0_cat2_16 -1 -1
smH_PTHMiss_200p0_10000p0 hgg_PTHMiss_50p0_100p0_cat0_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_0p0_30p0_cat1_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_0p0_30p0_cat2_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_0p0_30p0_cat0_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_100p0_200p0_cat1_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_100p0_200p0_cat2_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_100p0_200p0_cat0_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_200p0_10000p0_cat1_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_200p0_10000p0_cat2_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_200p0_10000p0_cat0_16 -1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_30p0_50p0_cat1_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_30p0_50p0_cat2_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_30p0_50p0_cat0_16 2 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_50p0_100p0_cat1_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_50p0_100p0_cat2_16 1 -1
smH_PTHMiss_30p0_50p0 hgg_PTHMiss_50p0_100p0_cat0_16 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_0p0_30p0_cat1_16 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_0p0_30p0_cat2_16 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_0p0_30p0_cat0_16 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_100p0_200p0_cat1_16 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_100p0_200p0_cat2_16 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_100p0_200p0_cat0_16 3 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_200p0_10000p0_cat1_16 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_200p0_10000p0_cat2_16 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_200p0_10000p0_cat0_16 -1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_30p0_50p0_cat1_16 3 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_30p0_50p0_cat2_16 1 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_30p0_50p0_cat0_16 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_50p0_100p0_cat1_16 4 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_50p0_100p0_cat2_16 2 -1
smH_PTHMiss_50p0_100p0 hgg_PTHMiss_50p0_100p0_cat0_16 1 -1
OutsideAcceptance hgg_PTHMiss_0p0_30p0_cat1_16 1 -1
OutsideAcceptance hgg_PTHMiss_0p0_30p0_cat2_16 1 1
OutsideAcceptance hgg_PTHMiss_0p0_30p0_cat0_16 1 -1
OutsideAcceptance hgg_PTHMiss_100p0_200p0_cat1_16 -1 -1
OutsideAcceptance hgg_PTHMiss_100p0_200p0_cat2_16 -1 -1
OutsideAcceptance hgg_PTHMiss_100p0_200p0_cat0_16 -1 -1
OutsideAcceptance hgg_PTHMiss_200p0_10000p0_cat1_16 -1 -1
OutsideAcceptance hgg_PTHMiss_200p0_10000p0_cat2_16 -1 -1
OutsideAcceptance hgg_PTHMiss_200p0_10000p0_cat0_16 -1 -1
