#proc cat nGausRV nGausWV
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 2 2
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 3 1
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 2
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 2 2
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 1
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 1
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 2
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 3
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 3
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 4
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 2
InsideAcceptance_genPtMiss_0p0_30p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 4 1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_100p0_200p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_200p0_10000p0 recoPtMiss_50p0_100p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_0p0_30p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_100p0_200p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_200p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genPtMiss_30p0_50p0 recoPtMiss_30p0_50p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
