#proc cat nGausRV nGausWV
InsideAcceptance_genPt_0p0_5p0 recoPt_0p0_5p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_0p0_5p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 3 1
InsideAcceptance_genPt_0p0_5p0 recoPt_0p0_5p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 1 1
InsideAcceptance_genPt_0p0_5p0 recoPt_100p0_120p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_100p0_120p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_100p0_120p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_10p0_15p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_10p0_15p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_10p0_15p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_120p0_140p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_120p0_140p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_120p0_140p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_140p0_170p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_140p0_170p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_140p0_170p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_15p0_20p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_15p0_20p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_15p0_20p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_170p0_200p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_170p0_200p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_170p0_200p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_200p0_250p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_200p0_250p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_200p0_250p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_20p0_30p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_20p0_30p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_20p0_30p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_30p0_45p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_30p0_45p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_30p0_45p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_45p0_60p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_45p0_60p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_45p0_60p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_5p0_10p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_5p0_10p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 1 1
InsideAcceptance_genPt_0p0_5p0 recoPt_5p0_10p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_60p0_80p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_60p0_80p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_60p0_80p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_80p0_100p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_80p0_100p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_0p0_5p0 recoPt_80p0_100p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_0p0_5p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_0p0_5p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_0p0_5p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_100p0_120p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 1 3
InsideAcceptance_genPt_100p0_120p0 recoPt_100p0_120p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 2 4
InsideAcceptance_genPt_100p0_120p0 recoPt_100p0_120p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 1 2
InsideAcceptance_genPt_100p0_120p0 recoPt_10p0_15p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_10p0_15p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_10p0_15p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_120p0_140p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_120p0_140p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_120p0_140p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 4 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_140p0_170p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_140p0_170p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_140p0_170p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_15p0_20p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_15p0_20p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_15p0_20p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_170p0_200p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_170p0_200p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_170p0_200p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_200p0_250p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_200p0_250p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_200p0_250p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_20p0_30p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_20p0_30p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_20p0_30p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_250p0_350p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_30p0_45p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_30p0_45p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_30p0_45p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0121_0p0298_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_350p0_10000p0_sigmaMoM_decorr_0p0_0p0102_SigmaMpTTag_0_16 -1 -1
InsideAcceptance_genPt_100p0_120p0 recoPt_45p0_60p0_sigmaMoM_decorr_0p0102_0p0121_SigmaMpTTag_0_16 -1 -1
