#proc cat nGausRV nGausWV
smH_PTH_0p0_5p0 hgg_PTH_0p0_5p0_cat1_18 3 1
smH_PTH_0p0_5p0 hgg_PTH_0p0_5p0_cat2_18 2 1
smH_PTH_0p0_5p0 hgg_PTH_0p0_5p0_cat0_18 2 1
smH_PTH_0p0_5p0 hgg_PTH_100p0_120p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_100p0_120p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_100p0_120p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_10p0_15p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_10p0_15p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_10p0_15p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_120p0_140p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_120p0_140p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_120p0_140p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_140p0_170p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_140p0_170p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_140p0_170p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_15p0_20p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_15p0_20p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_15p0_20p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_170p0_200p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_170p0_200p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_170p0_200p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_200p0_250p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_200p0_250p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_200p0_250p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_20p0_25p0_cat1_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_20p0_25p0_cat2_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_20p0_25p0_cat0_18 -1 -1
smH_PTH_0p0_5p0 hgg_PTH_250p0_350p0_cat1_18 -1 -1
