#proc cat nGausRV nGausWV
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_0p0_5p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_0p0_5p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_0p0_5p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_10p0_15p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_10p0_15p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_10p0_15p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_15p0_25p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_15p0_25p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_15p0_25p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_25p0_40p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_25p0_40p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_25p0_40p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_40p0_80p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_40p0_80p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_40p0_80p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_5p0_10p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_5p0_10p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_5p0_10p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_80p0_10000p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_80p0_10000p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_0p0_5p0 recoTauCJet2p50_80p0_10000p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_0p0_5p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_0p0_5p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_0p0_5p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 -1 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_10p0_15p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_10p0_15p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_10p0_15p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_15p0_25p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 3 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_15p0_25p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 2 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_15p0_25p0_sigmaMoM_decorr_0p0_0p0116_SigmaMpTTag_0_17 1 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_25p0_40p0_sigmaMoM_decorr_0p0116_0p0161_SigmaMpTTag_0_17 4 -1
InsideAcceptance_genTauCJet2p50_10p0_15p0 recoTauCJet2p50_25p0_40p0_sigmaMoM_decorr_0p0161_0p0306_SigmaMpTTag_0_17 1 -1
